番号,樹木ID,樹種名,立地,木の周囲(cm),樹高(m),状態,備考,緯度,経度
1,JBG-0001,イチョウ,園路沿い,155,11,健全,主幹に軽い傷,35.67286,139.55253
2,JBG-0002,ケヤキ,菊花壇の南,205,5,健全,幹に樹名板あり,35.670196,139.549918
3,JBG-0003,ナラ,温室近く,240,17,健全,足元に幼樹あり,35.670469,139.552324
4,JBG-0004,モミジ,雑木林沿い,175,12,健全,支柱交換が必要,35.669413,139.547919
5,JBG-0005,ツバキ,自由広場付近,150,5,要観察,台風被害後に回復傾向,35.669549,139.552801
6,JBG-0006,ケヤキ,バラテラス西側,160,24,要観察,支柱交換が必要,35.672264,139.550841
7,JBG-0007,クロマツ,温室近く,160,6,虫害,主幹に軽い傷,35.671081,139.548581
8,JBG-0008,ツバキ,池周辺,185,15,健全,実習区画の目印,35.673011,139.550652
9,JBG-0009,ケヤキ,菊花壇の南,120,21,要観察,下枝を剪定予定,35.671574,139.54693
10,JBG-0010,ナラ,温室近く,170,5,健全,問題なし,35.67363,139.54811
11,JBG-0011,ケヤキ,温室近く,250,14,健全,カミキリムシ捕獲トラップ設置,35.671174,139.552731
12,JBG-0012,ハナミズキ,池周辺,150,8,健全,台風被害後に回復傾向,35.672034,139.551223
13,JBG-0013,ヤマボウシ,菊花壇の南,195,15,健全,下枝を剪定予定,35.671857,139.545318
14,JBG-0014,クロマツ,芝生地,115,24,健全,先端枯れ見られる,35.672378,139.547963
15,JBG-0015,タブノキ,正門近く,235,12,立ち枯れ,問題なし,35.672882,139.545531
16,JBG-0016,ナラ,バラ園北側,175,7,健全,下枝を剪定予定,35.671522,139.553084
17,JBG-0017,トウカエデ,バラテラス西側,125,20,虫害,実習区画の目印,35.67385,139.549069
18,JBG-0018,スギ,池周辺,185,9,健全,台風被害後に回復傾向,35.674311,139.549891
19,JBG-0019,カツラ,園路沿い,105,15,虫害,実習区画の目印,35.670237,139.546668
20,JBG-0020,プラタナス,芝生地,95,19,枝折れ,台風被害後に回復傾向,35.673395,139.545656
